dtype,nome,email,salario,comissao,cnpj
VendedorProfissional,Abey,adoberer0@cloudflare.com,1440,,33545232616132
VendedorProfissional,Shelden,sdufty1@independent.co.uk,8394,,30660652625525
VendedorProfissional,Helga,hkillough2@un.org,6233,,32881284498216
VendedorProfissional,Jessee,jbridle3@smh.com.au,9145,,70042375101827
VendedorAutonomo,Ralina,rwoehler4@ehow.com,4607,11,
VendedorProfissional,Kathleen,kmacronald5@yelp.com,2840,,28621190572488
VendedorProfissional,Lise,lkrysiak6@cafepress.com,4994,,80393634016222
VendedorAutonomo,Osbourn,ostoyell7@stumbleupon.com,5793,7,
VendedorProfissional,Lorrie,lcampanelle8@census.gov,4000,,58621064037753
VendedorAutonomo,Case,cluis9@abc.net.au,8741,8,
VendedorProfissional,Lothaire,lbeevorsa@nymag.com,4736,,11131639854286
VendedorProfissional,Crissie,clarhamb@utexas.edu,6691,,31836377701618
VendedorProfissional,Bonnee,bnialc@macromedia.com,4522,,40959833944848
VendedorAutonomo,Ema,ekulicked@oracle.com,9517,2,
VendedorProfissional,Dunn,dseligsone@independent.co.uk,5442,,43223736892248
VendedorAutonomo,Riobard,rklementzf@jimdo.com,1179,2,
VendedorAutonomo,Vanya,vaitkeng@etsy.com,9085,10,
VendedorProfissional,Lenee,lcrotherh@time.com,1684,,60047736816131
VendedorAutonomo,Mindy,mmckevitti@tripod.com,3423,5,
VendedorProfissional,Essie,emessumj@rediff.com,9612,,50132085662868
VendedorProfissional,Denny,dbockmannk@live.com,4806,,98025369385439
VendedorAutonomo,Vivian,vridolfol@ucsd.edu,9897,8,
VendedorAutonomo,Thornie,towensm@disqus.com,2903,2,
VendedorAutonomo,Martie,mmelpussn@t.co,5910,5,
VendedorAutonomo,Larisa,lcudo@canalblog.com,848,15,
VendedorAutonomo,Gustie,gleevesp@amazon.co.uk,9336,6,
VendedorProfissional,Prudence,plookerq@state.gov,296,,18865358179913
VendedorProfissional,Kimberli,khaslewoodr@youtube.com,4703,,27609318460364
VendedorProfissional,Hermann,hdallenders@webnode.com,6082,,83073539606523
VendedorAutonomo,Cissiee,cnewlovet@tamu.edu,6904,10,
VendedorAutonomo,Belicia,bdoylandu@ocn.ne.jp,464,1,
VendedorProfissional,Natka,nattocv@constantcontact.com,7406,,47750669507401
VendedorAutonomo,Nikkie,ndestoopw@yellowbook.com,7293,2,
VendedorProfissional,Agnes,aelstonx@uiuc.edu,6412,,88916350585948
VendedorProfissional,Andriette,atoffuly@com.com,7074,,30864529693747
VendedorProfissional,Sean,singletonz@harvard.edu,6022,,48050870931634
VendedorProfissional,Zarah,zmcvitie10@w3.org,972,,19943542246856
VendedorAutonomo,Hamid,hcrolly11@yandex.ru,6106,9,
VendedorAutonomo,Nikolos,nmoney12@bizjournals.com,1695,11,
VendedorAutonomo,Nikolos,npickford13@bluehost.com,2901,9,
VendedorAutonomo,Anabel,adesport14@csmonitor.com,2292,6,
VendedorAutonomo,Candra,csprowson15@google.cn,6995,14,
VendedorAutonomo,Gregor,glaughrey16@mit.edu,3539,9,
